2026/06/09 01:54:11 gateway listening on :8080
2026/06/09 01:55:35 [192.168.1.3/fFijUvTj9V-000001] "GET http://localhost:8080/api/v1/health HTTP/1.1" from [::1]:62763 - 404 19B in 149.667µs
2026/06/09 01:55:42 [192.168.1.3/fFijUvTj9V-000002] "POST http://localhost:8080/api/v1/auth/login HTTP/1.1" from [::1]:62868 - 401 73B in 37.5455ms
2026/06/09 01:57:59 [192.168.1.3/fFijUvTj9V-000003] "POST http://localhost:8080/api/v1/auth/login HTTP/1.1" from [::1]:49172 - 200 939B in 150.48925ms
2026/06/09 01:57:59 [192.168.1.3/fFijUvTj9V-000004] "GET http://localhost:8080/api/v1/users/profile HTTP/1.1" from [::1]:49172 - 200 310B in 65.782209ms
2026/06/09 01:58:00 [192.168.1.3/fFijUvTj9V-000005] "GET http://localhost:8080/api/v1/dashboard/home HTTP/1.1" from [::1]:49172 - 200 976B in 204.384417ms
2026/06/09 01:58:07 [192.168.1.3/fFijUvTj9V-000006] "POST http://localhost:8080/api/v1/auth/login HTTP/1.1" from [::1]:49257 - 401 73B in 8.111292ms
2026/06/09 01:58:08 [192.168.1.3/fFijUvTj9V-000007] "GET http://localhost:8080/api/v1/journey HTTP/1.1" from [::1]:49172 - 404 19B in 17.880833ms
2026/06/09 01:58:10 [192.168.1.3/fFijUvTj9V-000008] "GET http://localhost:8080/api/v1/questions/daily HTTP/1.1" from [::1]:49172 - 200 1264B in 410.86025ms
2026/06/09 01:58:10 [192.168.1.3/fFijUvTj9V-000009] "GET http://localhost:8080/api/v1/questions/history?session_id=c1629736-1071-494e-bdce-ea022cc8c504 HTTP/1.1" from [::1]:49172 - 404 19B in 25.240916ms
2026/06/09 01:58:37 [192.168.1.3/fFijUvTj9V-000010] "GET http://localhost:8080/api/v1/users/profile HTTP/1.1" from [::1]:49528 - 401 61B in 357.834µs
2026/06/09 01:58:37 [192.168.1.3/fFijUvTj9V-000011] "POST http://localhost:8080/api/v1/auth/refresh HTTP/1.1" from [::1]:49528 - 401 77B in 230.65675ms
2026/06/09 01:58:57 [192.168.1.3/fFijUvTj9V-000012] "POST http://localhost:8080/api/v1/auth/login HTTP/1.1" from [::1]:49528 - 200 939B in 108.998625ms
2026/06/09 01:58:57 [192.168.1.3/fFijUvTj9V-000013] "GET http://localhost:8080/api/v1/users/profile HTTP/1.1" from [::1]:49528 - 200 310B in 8.852625ms
2026/06/09 01:58:57 [192.168.1.3/fFijUvTj9V-000014] "GET http://localhost:8080/api/v1/dashboard/home HTTP/1.1" from [::1]:49528 - 200 976B in 77.063291ms
2026/06/09 01:58:57 [192.168.1.3/fFijUvTj9V-000015] "GET http://localhost:8080/api/v1/dashboard/home HTTP/1.1" from [::1]:49528 - 200 976B in 103.690916ms
2026/06/09 01:59:29 [192.168.1.3/fFijUvTj9V-000016] "GET http://localhost:8080/api/v1/journey HTTP/1.1" from [::1]:49528 - 404 19B in 18.421ms
2026/06/09 01:59:29 [192.168.1.3/fFijUvTj9V-000017] "GET http://localhost:8080/api/v1/journey HTTP/1.1" from [::1]:49528 - 404 19B in 4.123708ms
2026/06/09 02:00:16 [192.168.1.3/fFijUvTj9V-000019] "GET http://localhost:8080/api/v1/users/profile HTTP/1.1" from [::1]:49528 - 200 310B in 30.129208ms
2026/06/09 02:00:16 [192.168.1.3/fFijUvTj9V-000020] "GET http://localhost:8080/api/v1/users/profile HTTP/1.1" from [::1]:49528 - 200 310B in 7.00425ms
2026/06/09 02:00:16 [192.168.1.3/fFijUvTj9V-000018] "GET http://localhost:8080/api/v1/questions/daily HTTP/1.1" from [::1]:50673 - 200 1264B in 41.774833ms
2026/06/09 02:00:16 [192.168.1.3/fFijUvTj9V-000022] "GET http://localhost:8080/api/v1/questions/history?session_id=c1629736-1071-494e-bdce-ea022cc8c504 HTTP/1.1" from [::1]:49528 - 404 19B in 5.494083ms
2026/06/09 02:00:16 [192.168.1.3/fFijUvTj9V-000021] "GET http://localhost:8080/api/v1/questions/daily HTTP/1.1" from [::1]:50673 - 200 1264B in 7.978417ms
2026/06/09 02:00:16 [192.168.1.3/fFijUvTj9V-000023] "GET http://localhost:8080/api/v1/questions/history?session_id=c1629736-1071-494e-bdce-ea022cc8c504 HTTP/1.1" from [::1]:50673 - 404 19B in 2.998541ms
